Year,Year05,Cluster,Mgmt,Property,Indicator,Attribute,Value
2004,-1,11,A,KF11A,Soil status,OlsenP,64
2004,-1,11,A,KF11A,Soil status,AMN,55.83333333
2004,-1,11,A,KF11A,Soil status,Carbon,3.508333333
2004,-1,11,A,KF11A,Soil status,Nitrogen,0.298333333
2004,-1,11,A,KF11A,Soil status,BulkDensity,0.911666667
2004,-1,11,B,KF11B,Soil status,pH,6.833333333
2004,-1,11,B,KF11B,Soil status,OlsenP,55.5
2004,-1,11,B,KF11B,Soil status,AMN,71
2004,-1,11,B,KF11B,Soil status,Carbon,3.725
2004,-1,11,B,KF11B,Soil status,Nitrogen,0.3
2004,-1,11,B,KF11B,Soil status,BulkDensity,0.821666667
2004,-1,11,C,KF11C,Soil status,pH,6.433333333
2004,-1,11,C,KF11C,Soil status,OlsenP,49
2004,-1,11,C,KF11C,Soil status,AMN,64
2004,-1,11,C,KF11C,Soil status,Carbon,3.585
2004,-1,11,C,KF11C,Soil status,Nitrogen,0.3
2004,-1,11,C,KF11C,Soil status,BulkDensity,0.89
2006,1,2,A,KF2A,Soil status,pH,6.466666667
2006,1,2,A,KF2A,Soil status,OlsenP,53.5
2006,1,2,A,KF2A,Soil status,AMN,49.5
2006,1,2,A,KF2A,Soil status,Carbon,7.03
2006,1,2,A,KF2A,Soil status,Nitrogen,0.648333333
2006,1,2,A,KF2A,Soil status,BulkDensity,0.676666667
2006,1,2,B,KF2B,Soil status,pH,6.5
2006,1,2,B,KF2B,Soil status,OlsenP,43.16666667
2006,1,2,B,KF2B,Soil status,AMN,51
2006,1,2,B,KF2B,Soil status,Carbon,6.695
2006,1,2,B,KF2B,Soil status,Nitrogen,0.628333333
2006,1,2,B,KF2B,Soil status,BulkDensity,0.663333333
2006,1,2,C,KF2C,Soil status,pH,6.566666667
2006,1,2,C,KF2C,Soil status,OlsenP,69.83333333
2006,1,2,C,KF2C,Soil status,AMN,62.5
2006,1,2,C,KF2C,Soil status,Carbon,7.043333333
2006,1,2,C,KF2C,Soil status,Nitrogen,0.653333333
2006,1,2,C,KF2C,Soil status,BulkDensity,0.613333333
2006,1,3,A,KF3A,Soil status,pH,6.766666667
2006,1,3,A,KF3A,Soil status,OlsenP,47.66666667
2006,1,3,A,KF3A,Soil status,AMN,49
2006,1,3,A,KF3A,Soil status,Carbon,5.775
2006,1,3,A,KF3A,Soil status,Nitrogen,0.511666667
2006,1,3,A,KF3A,Soil status,BulkDensity,0.676666667
2006,1,3,B,KF3B,Soil status,pH,6.783333333
2006,1,3,B,KF3B,Soil status,OlsenP,61.16666667
2006,1,3,B,KF3B,Soil status,AMN,69.16666667
2006,1,3,B,KF3B,Soil status,Carbon,6.978333333
2006,1,3,B,KF3B,Soil status,Nitrogen,0.643333333
2006,1,3,B,KF3B,Soil status,BulkDensity,0.633333333
2006,1,3,C,KF3C,Soil status,pH,6.25
2006,1,3,C,KF3C,Soil status,OlsenP,36.33333333
2006,1,3,C,KF3C,Soil status,AMN,78.83333333
2006,1,3,C,KF3C,Soil status,Carbon,6.458333333
2006,1,3,C,KF3C,Soil status,Nitrogen,0.598333333
2006,1,3,C,KF3C,Soil status,BulkDensity,0.678333333
2006,1,4,A,KF4A,Soil status,pH,6.883333333
2006,1,4,A,KF4A,Soil status,OlsenP,48
2006,1,4,A,KF4A,Soil status,AMN,48.16666667
2006,1,4,A,KF4A,Soil status,Carbon,5.548333333
2006,1,4,A,KF4A,Soil status,Nitrogen,0.491666667
2006,1,4,A,KF4A,Soil status,BulkDensity,0.748333333
2006,1,4,B,KF4B,Soil status,pH,6.85
2006,1,4,B,KF4B,Soil status,OlsenP,42.33333333
2006,1,4,B,KF4B,Soil status,AMN,53
2006,1,4,B,KF4B,Soil status,Carbon,6.386666667
2006,1,4,B,KF4B,Soil status,Nitrogen,0.566666667
2006,1,4,B,KF4B,Soil status,BulkDensity,0.696666667
2006,1,4,C,KF4C,Soil status,pH,6.45
2006,1,4,C,KF4C,Soil status,OlsenP,49
2006,1,4,C,KF4C,Soil status,AMN,59.66666667
2006,1,4,C,KF4C,Soil status,Carbon,6.81
2006,1,4,C,KF4C,Soil status,Nitrogen,0.618333333
2006,1,4,C,KF4C,Soil status,BulkDensity,0.718333333
2006,1,5,A,KF5A,Soil status,pH,6.616666667
2006,1,5,A,KF5A,Soil status,OlsenP,76.16666667
2006,1,5,A,KF5A,Soil status,AMN,39
2006,1,5,A,KF5A,Soil status,Carbon,5.89
2006,1,5,A,KF5A,Soil status,Nitrogen,0.501666667
2006,1,5,A,KF5A,Soil status,BulkDensity,0.708333333
2006,1,5,B,KF5B,Soil status,pH,6.933333333
2006,1,5,B,KF5B,Soil status,OlsenP,31.5
2006,1,5,B,KF5B,Soil status,AMN,50.33333333
2006,1,5,B,KF5B,Soil status,Carbon,6.421666667
2006,1,5,B,KF5B,Soil status,Nitrogen,0.528333333
2006,1,5,B,KF5B,Soil status,BulkDensity,0.671666667
2006,1,5,C,KF5C,Soil status,pH,6.85
2006,1,5,C,KF5C,Soil status,OlsenP,83
2006,1,5,C,KF5C,Soil status,AMN,54.33333333
2006,1,5,C,KF5C,Soil status,Carbon,7.106666667
2006,1,5,C,KF5C,Soil status,Nitrogen,0.613333333
2006,1,5,C,KF5C,Soil status,BulkDensity,0.716666667
2006,1,6,A,KF6A,Soil status,pH,6.466666667
2006,1,6,A,KF6A,Soil status,OlsenP,43.33333333
2006,1,6,A,KF6A,Soil status,AMN,42.33333333
2006,1,6,A,KF6A,Soil status,Carbon,5.871666667
2006,1,6,A,KF6A,Soil status,Nitrogen,0.505
2006,1,6,A,KF6A,Soil status,BulkDensity,0.715
2006,1,6,B,KF6B,Soil status,pH,6.816666667
2006,1,6,B,KF6B,Soil status,OlsenP,77.5
2006,1,6,B,KF6B,Soil status,AMN,51.33333333
2006,1,6,B,KF6B,Soil status,Carbon,5.618333333
2006,1,6,B,KF6B,Soil status,Nitrogen,0.498333333
2006,1,6,B,KF6B,Soil status,BulkDensity,0.695
2006,1,6,C,KF6C,Soil status,pH,6.566666667
2006,1,6,C,KF6C,Soil status,OlsenP,142.6
2006,1,6,C,KF6C,Soil status,AMN,51
2006,1,6,C,KF6C,Soil status,Carbon,5.713333333
2006,1,6,C,KF6C,Soil status,Nitrogen,0.518333333
2006,1,6,C,KF6C,Soil status,BulkDensity,0.763333333
2006,1,7,A,KF7A,Soil status,pH,6.316666667
2006,1,7,A,KF7A,Soil status,OlsenP,78.16666667
2006,1,7,A,KF7A,Soil status,AMN,56.33333333
2006,1,7,A,KF7A,Soil status,Carbon,4.185
2006,1,7,A,KF7A,Soil status,Nitrogen,0.36
2006,1,7,A,KF7A,Soil status,BulkDensity,0.931666667
2006,1,7,B,KF7B,Soil status,pH,6.416666667
2006,1,7,B,KF7B,Soil status,OlsenP,46.66666667
2006,1,7,B,KF7B,Soil status,AMN,68.33333333
2006,1,7,B,KF7B,Soil status,Carbon,5.623333333
2006,1,7,B,KF7B,Soil status,Nitrogen,0.478333333
2006,1,7,B,KF7B,Soil status,BulkDensity,0.76
2006,1,7,C,KF7C,Soil status,pH,6.3
2006,1,7,C,KF7C,Soil status,OlsenP,61.16666667
2006,1,7,C,KF7C,Soil status,AMN,58.83333333
2006,1,7,C,KF7C,Soil status,Carbon,5.251666667
2006,1,7,C,KF7C,Soil status,Nitrogen,0.466666667
2006,1,7,C,KF7C,Soil status,BulkDensity,0.815
2006,1,8,A,KF8A,Soil status,pH,6.183333333
2006,1,8,A,KF8A,Soil status,OlsenP,63.16666667
2006,1,8,A,KF8A,Soil status,AMN,48.33333333
2006,1,8,A,KF8A,Soil status,Carbon,4.793333333
2006,1,8,A,KF8A,Soil status,Nitrogen,0.378333333
2006,1,8,A,KF8A,Soil status,BulkDensity,0.82
2006,1,8,B,KF8B,Soil status,pH,6.7
2006,1,8,B,KF8B,Soil status,OlsenP,65
2006,1,8,B,KF8B,Soil status,AMN,63.66666667
2006,1,8,B,KF8B,Soil status,Carbon,5.426666667
2006,1,8,B,KF8B,Soil status,Nitrogen,0.445
2006,1,8,B,KF8B,Soil status,BulkDensity,0.788333333
2006,1,8,C,KF8C,Soil status,pH,6.333333333
2006,1,8,C,KF8C,Soil status,OlsenP,80.5
2006,1,8,C,KF8C,Soil status,AMN,68.83333333
2006,1,8,C,KF8C,Soil status,Carbon,5.235
2006,1,8,C,KF8C,Soil status,Nitrogen,0.446666667
2006,1,8,C,KF8C,Soil status,BulkDensity,0.771666667
2006,1,9,A,KF9A,Soil status,pH,6.883333333
2006,1,9,A,KF9A,Soil status,OlsenP,74.16666667
2006,1,9,A,KF9A,Soil status,AMN,54.33333333
2006,1,9,A,KF9A,Soil status,Carbon,4.228333333
2006,1,9,A,KF9A,Soil status,Nitrogen,0.363333333
2006,1,9,A,KF9A,Soil status,BulkDensity,0.843333333
2006,1,9,B,KF9B,Soil status,pH,6.616666667
2006,1,9,B,KF9B,Soil status,OlsenP,44.16666667
2006,1,9,B,KF9B,Soil status,AMN,85.16666667
2006,1,9,B,KF9B,Soil status,Carbon,5.5
2006,1,9,B,KF9B,Soil status,Nitrogen,0.466666667
2006,1,9,B,KF9B,Soil status,BulkDensity,0.761666667
2006,1,9,C,KF9C,Soil status,pH,6.35
2006,1,9,C,KF9C,Soil status,OlsenP,59.66666667
2006,1,9,C,KF9C,Soil status,AMN,59.16666667
2006,1,9,C,KF9C,Soil status,Carbon,4.261666667
2006,1,9,C,KF9C,Soil status,Nitrogen,0.351666667
2006,1,9,C,KF9C,Soil status,BulkDensity,0.753333333
2006,1,10,A,KF10A,Soil status,pH,6.533333333
2006,1,10,A,KF10A,Soil status,OlsenP,31.33333333
2006,1,10,A,KF10A,Soil status,AMN,74
2006,1,10,A,KF10A,Soil status,Carbon,4.148333333
2006,1,10,A,KF10A,Soil status,Nitrogen,0.368333333
2006,1,10,A,KF10A,Soil status,BulkDensity,0.868333333
2006,1,10,B,KF10B,Soil status,pH,6.633333333
2006,1,10,B,KF10B,Soil status,OlsenP,37
2006,1,10,B,KF10B,Soil status,AMN,128.6666667
2006,1,10,B,KF10B,Soil status,Carbon,5.341666667
2006,1,10,B,KF10B,Soil status,Nitrogen,0.476666667
2006,1,10,B,KF10B,Soil status,BulkDensity,0.761666667
2006,1,10,C,KF10C,Soil status,pH,5.966666667
2006,1,10,C,KF10C,Soil status,OlsenP,63.83333333
2006,1,10,C,KF10C,Soil status,AMN,74.33333333
2006,1,10,C,KF10C,Soil status,Carbon,4.611666667
2006,1,10,C,KF10C,Soil status,Nitrogen,0.421666667
2006,1,10,C,KF10C,Soil status,BulkDensity,0.826666667
2006,1,11,A,KF11A,Soil status,pH,6.566666667
2006,1,11,A,KF11A,Soil status,OlsenP,72.5
2006,1,11,A,KF11A,Soil status,AMN,42.66666667
2006,1,11,A,KF11A,Soil status,Carbon,2.961666667
2006,1,11,A,KF11A,Soil status,Nitrogen,0.245
2006,1,11,A,KF11A,Soil status,BulkDensity,0.846666667
2006,1,11,B,KF11B,Soil status,pH,6.85
2006,1,11,B,KF11B,Soil status,OlsenP,61.16666667
2006,1,11,B,KF11B,Soil status,AMN,63.83333333
2006,1,11,B,KF11B,Soil status,Carbon,4.028333333
2006,1,11,B,KF11B,Soil status,Nitrogen,0.323333333
2006,1,11,B,KF11B,Soil status,BulkDensity,0.791666667
2006,1,11,C,KF11C,Soil status,pH,6.15
2006,1,11,C,KF11C,Soil status,OlsenP,59.66666667
2006,1,11,C,KF11C,Soil status,AMN,57.5
2006,1,11,C,KF11C,Soil status,Carbon,3.503333333
2006,1,11,C,KF11C,Soil status,Nitrogen,0.298333333
2006,1,11,C,KF11C,Soil status,BulkDensity,0.908333333
2009,4,2,A,KF2A,Soil status,pH,6.566666667
2009,4,2,A,KF2A,Soil status,OlsenP,50.5
2009,4,2,A,KF2A,Soil status,AMN,55.66666667
2009,4,2,A,KF2A,Soil status,Carbon,8.055
2009,4,2,A,KF2A,Soil status,Nitrogen,0.716666667
2009,4,2,A,KF2A,Soil status,BulkDensity,0.665
2009,4,2,B,KF2B,Soil status,pH,6.866666667
2009,4,2,B,KF2B,Soil status,OlsenP,52.16666667
2009,4,2,B,KF2B,Soil status,AMN,70.5
2009,4,2,B,KF2B,Soil status,Carbon,7.87
2009,4,2,B,KF2B,Soil status,Nitrogen,0.696666667
2009,4,2,B,KF2B,Soil status,BulkDensity,0.673333333
2009,4,2,C,KF2C,Soil status,pH,6.566666667
2009,4,2,C,KF2C,Soil status,OlsenP,82.5
2009,4,2,C,KF2C,Soil status,AMN,62.66666667
2009,4,2,C,KF2C,Soil status,Carbon,7.865
2009,4,2,C,KF2C,Soil status,Nitrogen,0.701666667
2009,4,2,C,KF2C,Soil status,BulkDensity,0.648333333
2009,4,3,A,KF3A,Soil status,pH,6.95
2009,4,3,A,KF3A,Soil status,OlsenP,58.33333333
2009,4,3,A,KF3A,Soil status,AMN,46.83333333
2009,4,3,A,KF3A,Soil status,Carbon,6.38
2009,4,3,A,KF3A,Soil status,Nitrogen,0.553333333
2009,4,3,A,KF3A,Soil status,BulkDensity,0.658333333
2009,4,3,B,KF3B,Soil status,pH,7.033333333
2009,4,3,B,KF3B,Soil status,OlsenP,77.33333333
2009,4,3,B,KF3B,Soil status,AMN,72
2009,4,3,B,KF3B,Soil status,Carbon,8.215
2009,4,3,B,KF3B,Soil status,Nitrogen,0.741666667
2009,4,3,B,KF3B,Soil status,BulkDensity,0.641666667
2009,4,3,C,KF3C,Soil status,pH,6.666666667
2009,4,3,C,KF3C,Soil status,OlsenP,63.66666667
2009,4,3,C,KF3C,Soil status,AMN,73.66666667
2009,4,3,C,KF3C,Soil status,Carbon,7.398333333
2009,4,3,C,KF3C,Soil status,Nitrogen,0.666666667
2009,4,3,C,KF3C,Soil status,BulkDensity,0.64
2009,4,4,A,KF4A,Soil status,pH,6.95
2009,4,4,A,KF4A,Soil status,OlsenP,48.16666667
2009,4,4,A,KF4A,Soil status,AMN,65.16666667
2009,4,4,A,KF4A,Soil status,Carbon,6.491666667
2009,4,4,A,KF4A,Soil status,Nitrogen,0.585
2009,4,4,A,KF4A,Soil status,BulkDensity,0.71
2009,4,4,B,KF4B,Soil status,pH,7.066666667
2009,4,4,B,KF4B,Soil status,OlsenP,59
2009,4,4,B,KF4B,Soil status,AMN,77.66666667
2009,4,4,B,KF4B,Soil status,Carbon,7.476666667
2009,4,4,B,KF4B,Soil status,Nitrogen,0.66
2009,4,4,B,KF4B,Soil status,BulkDensity,0.648333333
2009,4,4,C,KF4C,Soil status,pH,6.55
2009,4,4,C,KF4C,Soil status,OlsenP,54
2009,4,4,C,KF4C,Soil status,AMN,63.83333333
2009,4,4,C,KF4C,Soil status,Carbon,7.421666667
2009,4,4,C,KF4C,Soil status,Nitrogen,0.643333333
2009,4,4,C,KF4C,Soil status,BulkDensity,0.648333333
2009,4,5,A,KF5A,Soil status,pH,6.616666667
2009,4,5,A,KF5A,Soil status,OlsenP,86.33333333
2009,4,5,A,KF5A,Soil status,AMN,37
2009,4,5,A,KF5A,Soil status,Carbon,6.308333333
2009,4,5,A,KF5A,Soil status,Nitrogen,0.52
2009,4,5,A,KF5A,Soil status,BulkDensity,0.685
2009,4,5,B,KF5B,Soil status,pH,6.766666667
2009,4,5,B,KF5B,Soil status,OlsenP,42.5
2009,4,5,B,KF5B,Soil status,AMN,57.83333333
2009,4,5,B,KF5B,Soil status,Carbon,7.101666667
2009,4,5,B,KF5B,Soil status,Nitrogen,0.578333333
2009,4,5,B,KF5B,Soil status,BulkDensity,0.61
2009,4,5,C,KF5C,Soil status,pH,6.633333333
2009,4,5,C,KF5C,Soil status,OlsenP,83
2009,4,5,C,KF5C,Soil status,AMN,41.5
2009,4,5,C,KF5C,Soil status,Carbon,7.485
2009,4,5,C,KF5C,Soil status,Nitrogen,0.605
2009,4,5,C,KF5C,Soil status,BulkDensity,0.66
2009,4,6,A,KF6A,Soil status,pH,6.233333333
2009,4,6,A,KF6A,Soil status,OlsenP,54
2009,4,6,A,KF6A,Soil status,AMN,45.5
2009,4,6,A,KF6A,Soil status,Carbon,6.351666667
2009,4,6,A,KF6A,Soil status,Nitrogen,0.548333333
2009,4,6,A,KF6A,Soil status,BulkDensity,0.66
2009,4,6,B,KF6B,Soil status,pH,6.5
2009,4,6,B,KF6B,Soil status,OlsenP,66.33333333
2009,4,6,B,KF6B,Soil status,AMN,53
2009,4,6,B,KF6B,Soil status,Carbon,6.401666667
2009,4,6,B,KF6B,Soil status,Nitrogen,0.573333333
2009,4,6,B,KF6B,Soil status,BulkDensity,0.665
2009,4,6,C,KF6C,Soil status,pH,6.383333333
2009,4,6,C,KF6C,Soil status,OlsenP,136.8333333
2009,4,6,C,KF6C,Soil status,AMN,46.66666667
2009,4,6,C,KF6C,Soil status,Carbon,6.01
2009,4,6,C,KF6C,Soil status,Nitrogen,0.54
2009,4,6,C,KF6C,Soil status,BulkDensity,0.681666667
2009,4,7,A,KF7A,Soil status,pH,6.783333333
2009,4,7,A,KF7A,Soil status,OlsenP,69.83333333
2009,4,7,A,KF7A,Soil status,AMN,57
2009,4,7,A,KF7A,Soil status,Carbon,4.818333333
2009,4,7,A,KF7A,Soil status,Nitrogen,0.413333333
2009,4,7,A,KF7A,Soil status,BulkDensity,0.796666667
2009,4,7,B,KF7B,Soil status,pH,6.6
2009,4,7,B,KF7B,Soil status,OlsenP,49
2009,4,7,B,KF7B,Soil status,AMN,72
2009,4,7,B,KF7B,Soil status,Carbon,6.433333333
2009,4,7,B,KF7B,Soil status,Nitrogen,0.548333333
2009,4,7,B,KF7B,Soil status,BulkDensity,0.655
2009,4,7,C,KF7C,Soil status,pH,6.533333333
2009,4,7,C,KF7C,Soil status,OlsenP,64.16666667
2009,4,7,C,KF7C,Soil status,AMN,64.83333333
2009,4,7,C,KF7C,Soil status,Carbon,5.926666667
